Season,Team,Rk,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NetRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G,ELO
1985,Golden State Warriors,23.0,26.1,22.0,60.0,24.0,58.0,-7.34,0.13,-7.21,106.0,113.0,-7.0,103.2,0.335,0.053,0.522,0.47,14.4,34.5,0.257,0.54,16.1,66.0,0.268,Oakland-Alameda County Coliseum Arena,300586.0,,1342.1578
1985,Houston Rockets,9.0,25.3,48.0,34.0,45.0,37.0,1.72,-0.34,1.38,107.9,106.3,1.6000000000000083,102.2,0.304,0.025,0.54,0.507,16.0,37.4,0.213,0.48700000000000004,15.2,67.4,0.259,The Summit,553014.0,14447.0,1532.6541
1985,Indiana Pacers,22.0,24.1,22.0,60.0,26.0,56.0,-6.21,0.75,-5.46,102.5,108.4,-5.900000000000006,105.1,0.344,0.021,0.527,0.478,16.1,31.7,0.255,0.499,14.3,70.5,0.282,Market Square Arena,438377.0,,1310.7991
1985,Kansas City Kings,18.0,26.1,31.0,51.0,34.0,48.0,-2.67,-0.04,-2.71,109.5,112.1,-2.5999999999999943,104.4,0.35700000000000004,0.033,0.5589999999999999,0.508,15.9,34.0,0.278,0.514,14.2,66.6,0.262,Kemper Arena,262813.0,,1438.9736
1985,League Average,,26.4,,,41.0,41.0,0.0,0.0,0.0,107.9,107.9,0.0,102.1,0.33,0.035,0.5429999999999999,0.496,14.9,32.9,0.252,0.496,14.9,67.1,0.252,,454445.0,13487.0,1501.9410086956518
1985,Los Angeles Clippers,20.0,27.3,31.0,51.0,30.0,52.0,-4.49,-0.07,-4.55,105.8,110.3,-4.5,100.9,0.31,0.026000000000000002,0.5429999999999999,0.499,16.4,33.8,0.235,0.495,12.7,66.1,0.21,Los Angeles Memorial Sports Arena,384519.0,,1394.9297
1985,Los Angeles Lakers,2.0,27.4,62.0,20.0,58.0,24.0,7.35,-0.87,6.48,114.1,107.0,7.099999999999994,103.2,0.308,0.040999999999999995,0.589,0.551,15.7,33.8,0.235,0.485,13.7,67.1,0.22,The Forum,610361.0,15404.0,1731.5975
1985,Milwaukee Bucks,1.0,25.7,59.0,23.0,58.0,24.0,6.85,-0.16,6.69,110.5,103.6,6.900000000000006,99.7,0.341,0.040999999999999995,0.545,0.4970000000000001,14.2,35.4,0.258,0.467,16.1,65.6,0.29,MECCA Arena,422924.0,,1696.8232
1985,New Jersey Nets,10.0,26.5,42.0,40.0,42.0,40.0,0.23,0.41,0.64,107.9,107.7,0.20000000000000284,101.0,0.3,0.03,0.532,0.493,13.8,33.9,0.21899999999999997,0.505,15.6,68.2,0.263,Brendan Byrne Arena,502177.0,,1540.6370000000006
1985,New York Knicks,19.0,25.8,24.0,58.0,29.0,53.0,-4.63,0.54,-4.09,104.9,109.6,-4.699999999999988,99.5,0.331,0.027999999999999997,0.53,0.48700000000000004,15.2,31.7,0.24,0.499,16.5,63.3,0.33899999999999997,Madison Square Garden (IV),457137.0,,1329.995
