,result,season,team1,team2,d_ELO,d_NetRtg,d_SRS
25915,0,1985,NYK,WSB,52.569699999999784,4.24666666666667,2.357749228395061
25916,1,1985,PHO,NJN,20.03370000000018,1.6611111111111125,2.7164927348885675
25917,0,1985,PHI,DET,31.28449999999998,6.78253968253968,4.716795394420395
25918,1,1985,IND,HOU,-93.61020000000008,-17.444444444444443,-10.58363952020202
25919,1,1985,BOS,NYK,162.00800000000004,10.089999999999998,9.45300761584095
25920,1,1985,WSB,SAS,-24.663900000000012,-5.452727272727277,-2.6451722783389444
25921,0,1985,LAC,MIL,-198.35069999999996,-16.665000000000003,-11.38533726150393
25922,1,1985,GSW,DAL,-57.76260000000002,-4.287500000000001,-4.907361209497573
25923,0,1985,CHI,BOS,-207.6362999999999,-6.929999999999998,-4.6280279882154876
25924,0,1985,ATL,CLE,154.09719999999993,12.480000000000002,12.988829318829318
25925,1,1985,POR,UTA,37.61370000000011,3.3666666666666685,4.879653807303807
25926,0,1985,DET,PHI,-12.051299999999856,-5.219999999999997,-2.896829614829615
25927,1,1985,WSB,NYK,-1.1890999999998257,1.3492424242424192,2.581156230133503
25928,1,1985,DEN,HOU,76.40629999999987,-3.7399999999999975,2.752723517223517
25929,1,1985,SEA,POR,-75.07639999999992,-12.425000000000002,-10.005568529113983
25930,1,1985,IND,SAS,-87.59899999999993,-5.122727272727272,-2.430804791504792
25931,1,1985,PHO,MIL,-61.865099999999984,-7.541818181818184,-6.477731934731935
25932,1,1985,LAL,KCK,169.01459999999997,11.155681818181819,7.878629204129205
25933,1,1985,ATL,IND,78.92690000000016,2.6999999999999984,2.179855128205128
25934,0,1985,DAL,DET,-76.65700000000015,-2.6923076923076916,-2.861365986790987
25935,1,1985,UTA,PHO,-74.6286,-0.6890909090909072,-2.352881183631183
25936,0,1985,CHI,PHI,-153.20299999999997,-5.309090909090907,-2.7811323717948713
25937,1,1985,NYK,CLE,120.82510000000002,7.784848484848487,6.565408084339902
25938,0,1985,GSW,NJN,-91.15329999999994,-4.389898989898987,-1.7504052156177154
25939,1,1985,LAC,KCK,-3.9122999999999593,0.5146464646464626,1.396435664335665
25940,1,1985,HOU,SAS,-8.035200000000032,7.699999999999997,3.7891782898919257
25941,0,1985,SEA,NJN,-67.62079999999992,-4.699242424242421,-1.09532634032634
25942,1,1985,POR,LAC,126.35889999999995,12.865705128205136,8.571801078971534
25943,1,1985,LAL,MIL,-25.10590000000002,-4.216666666666667,-3.308558910786183
25944,0,1985,CHI,IND,26.163700000000063,3.7166666666666672,4.935531998304725
25945,0,1985,PHI,WSB,105.93420000000015,6.638461538461541,4.829764245014245
25946,1,1985,NYK,GSW,72.06220000000008,5.897692307692308,3.822845737595738
25947,1,1985,LAL,PHO,34.58389999999986,2.3134615384615387,1.8793999523204061
25948,1,1985,KCK,UTA,-102.29950000000008,-11.650909090909092,-7.734036241536241
25949,1,1985,HOU,DET,-90.07619999999997,6.966666666666664,2.029955922865013
25950,1,1985,DAL,MIL,-139.10969999999998,-10.79230769230769,-7.965923627654396
25951,1,1985,POR,NJN,-5.951600000000099,6.068131868131874,6.441869120196042
25952,0,1985,SEA,DEN,-99.3868,-11.881060606060604,-10.695822276208641
25953,0,1985,IND,PHI,-148.54959999999983,-6.687412587412588,-5.621656074481075
25954,0,1985,CLE,NYK,-138.04290000000015,-11.47619047619048,-9.37464263941187
25955,1,1985,BOS,GSW,258.08190000000013,17.75,16.34921247826248
25956,1,1985,ATL,UTA,1.2652000000000498,-2.016666666666669,0.3224427693518613
25957,0,1985,PHO,LAL,-54.531099999999924,-5.256593406593406,-4.245112129323666
25958,1,1985,MIL,CHI,185.29600000000005,7.326923076923072,3.92339788843635
25959,0,1985,LAC,DEN,-165.25559999999996,-13.996153846153849,-9.864681856022766
25960,0,1985,SAS,DET,-87.12699999999995,-0.7538461538461545,-3.478568070818071
25961,1,1985,WSB,KCK,112.07670000000007,8.04155844155844,8.005743243935552
25962,0,1985,IND,KCK,16.984699999999975,4.664285714285715,3.733541176771947
