,result,season,team1,team2,d_ELO,d_NetRtg,d_SRS
25881,1,1985,UTA,SAS,-32.16120000000001,0.9085365853658562,-0.20247967479674822
25882,1,1985,PHI,IND,174.83379999999988,6.979268292682933,7.694969512195122
25883,1,1985,HOU,SEA,-5.5448999999998705,-1.1609756097561137,-3.376130081300812
25884,1,1985,GSW,LAL,-161.04359999999997,-7.398780487804883,-6.486265969802555
25885,1,1985,DEN,POR,-21.51599999999985,-4.592682926829268,-6.355365853658537
25886,1,1985,DAL,ATL,-36.249100000000226,1.1280487804878159,0.623678861788618
25887,0,1985,NYK,CHI,115.04330000000004,8.109756097560975,6.903475609756098
25888,1,1985,PHO,CLE,211.58349999999996,6.319512195121963,5.426048780487804
25889,1,1985,WSB,LAC,-5.097600000000057,-0.36829268292682693,-3.0697735191637636
25890,0,1985,NJN,KCK,127.5327000000002,3.002439024390239,3.1672886178861788
25891,1,1985,MIL,IND,188.85670000000005,9.251219512195128,6.673166666666667
25892,1,1985,BOS,PHI,69.89670000000001,4.098780487804875,7.150823170731705
